name	CHE_AS	CHE_IF	HKG_AS	HKG_IF	IND_AS	IND_IF	SWE_AS	SWE_IF	USA_AS	USA_IF
Clostridium gasigenes	19	10	60	3	15	12	16	55	11	14
Clostridium gelidum	35	23	68	4	15	40	13	368	25	85
Clostridium intestinale	26	7	55	7	15	16	8	46	20	11
Clostridium isatidis	18	7	44	6	11	18	11	28	11	14
Clostridium kluyveri	29	13	64	17	19	26	22	60	18	14
Clostridium ljungdahlii	0	0	0	0	0	0	0	0	0	0
Clostridium manihotivorum	17	8	56	11	20	19	19	58	12	16
Clostridium novyi	1	0	4	0	1	0	1	2	1	3
Clostridium pasteurianum	20	12	48	10	15	22	8	67	9	9
Clostridium perfringens	68	44	229	41	59	55	65	218	45	54
Clostridium phage phi3626	0	0	0	0	1	0	0	0	0	0
Clostridium phage phiCT453B	0	0	1	0	0	0	0	0	0	0
Clostridium phage phiCT9441A	0	0	0	0	0	0	1	0	0	0
Clostridium phage phiCTP1	0	0	0	0	1	0	0	0	0	1
Clostridium saccharobutylicum	23	10	53	12	17	26	15	110	23	34
Clostridium saccharoperbutylacetonicum	29	7	49	11	23	28	22	83	19	26
Clostridium scatologenes	9	3	23	5	7	7	6	28	7	10
Clostridium septicum	12	8	37	9	19	12	11	43	18	16
Clostridium sp. 001	7	2	18	1	3	3	8	14	4	9
Clostridium sp. 16K-1-R1	0	1	1	0	0	0	0	0	0	1
Clostridium sp. AWRP	14	3	16	3	9	7	9	25	5	8
Clostridium sp. BJN0001	15	5	33	6	10	16	10	66	10	14
Clostridium sp. BNL1100	18	3	27	9	6	21	6	25	9	14
Clostridium sp. C1	15	14	39	10	10	11	5	58	11	28
Clostridium sp. CM027	19	3	26	8	7	10	13	43	10	6
Clostridium sp. 'deep sea'	19	4	35	5	15	7	7	24	8	4
Clostridium sp. DL-VIII	23	8	68	13	13	19	20	103	18	25
Clostridium sp. JN-1	10	2	30	0	9	12	7	26	5	10
Clostridium sp. JN-9	9	8	38	8	9	12	9	26	7	7
Clostridium sp. LQ25	1	0	12	0	3	2	0	9	2	2
Clostridium sp. M62/1	8	96	26	143	4	70	7	252	2	75
Clostridium sp. MD294	13	5	31	4	12	10	9	35	9	4
Clostridium sp. MF28	3	3	2	1	2	1	2	5	6	1
Clostridium sp. SY8519	9	13	24	27	6	28	2	70	1	13
Clostridium sporogenes	27	7	51	10	17	18	14	67	15	7
Clostridium taeniosporum	17	3	32	4	14	13	9	48	10	10
Clostridium tetani	7	2	43	7	7	13	21	22	11	14
Clostridium thermarum	11	4	30	10	6	10	10	27	5	5
Clostridium tyrobutyricum	14	5	44	5	9	16	8	43	10	10
Clownvirus clown	0	0	0	0	0	0	0	0	0	0
Cnaphalocrocis medinalis granulovirus	1	0	0	0	0	0	0	0	0	0
Cnuibacter physcomitrellae	32	10	86	61	44	5	22	16	13	3
Cobetia amphilecti	3	2	12	3	5	0	1	1	2	0
Cobetia marina	0	1	1	2	0	0	0	0	0	0
Cobetia pacifica	3	8	18	17	11	2	0	3	1	1
Cobetia sp. 4B	2	1	18	9	4	1	4	1	2	1
Cobetia sp. AM6	6	1	6	12	8	0	3	1	0	1
Cobetia sp. cqz5-12	8	3	29	22	16	9	7	2	6	2
Cobetia sp. ICG0124	0	0	0	1	0	1	0	0	0	0
Cobetia sp. L2A1	9	4	71	47	22	5	10	6	5	2
Cognaticolwellia beringensis	17	2	36	10	7	1	7	4	8	9
Cognatishimia activa	18	12	94	94	26	9	17	11	14	6
Cohaesibacter sp. ES.047	20	4	68	59	38	5	13	7	15	6
Cohcovirus hiberniae	0	0	0	0	0	0	0	0	0	0
Cohcovirus splanchnicus	0	0	0	0	0	0	0	0	0	0
Cohnella abietis	7	3	23	15	11	7	6	16	5	5
Cohnella candidum	10	5	33	37	28	6	8	27	8	9
Cohnella cholangitidis	17	3	37	10	16	6	7	10	5	2
Cohnella herbarum	12	2	45	15	23	7	6	19	8	5
Cohnella sp. LGH	15	2	51	37	25	7	11	16	7	1
Colletotrichum higginsianum	0	0	0	0	0	0	0	0	0	0
Colletotrichum lupini	65	9	153	66	66	22	24	14	37	12
Collimonas arenae	65	28	152	107	78	26	73	60	38	34
Collimonas fungivorans	38	24	84	70	76	23	51	34	33	23
Collimonas pratensis	50	22	118	92	89	28	42	25	31	33
Collinsella aerofaciens	76	294	228	1939	91	453	49	575	20	136
Collinsella sp. zg1085	3	0	5	7	8	4	1	2	0	0
Collinsella stercoris	11	11	28	116	25	16	5	43	13	29
Colorado tick fever coltivirus	0	0	0	0	0	0	0	0	0	0
Colossusvirus colossus	0	0	0	0	0	0	0	0	0	0
Colossusvirus PW	0	0	0	0	0	0	0	0	0	0
Columbid alphaherpesvirus 1	0	0	1	0	0	0	0	0	0	0
Colwellia psychrerythraea	0	0	0	0	0	0	0	0	0	0
Colwellia sp. 20A7	10	1	31	6	7	2	10	7	13	5
Colwellia sp. Arc7-635	13	2	34	7	6	3	5	6	0	8
Colwellia sp. Arc7-D	15	1	32	6	15	6	8	11	8	4
Colwellia sp. M166	15	2	29	14	6	14	6	16	9	8
Colwellia sp. MT41	14	1	45	9	6	10	11	8	8	4
Colwellia sp. PAMC 20917	15	7	52	12	6	6	6	8	13	7
Comamonas aquatica	373	1105	322	755	286	462	343	1374	164	563
Comamonas fluminis	114	893	68	174	55	74	107	703	48	275
Comamonas kerstersii	103	320	74	164	61	130	102	325	33	121
Comamonas koreensis	12	31	11	18	15	4	6	51	1	17
Comamonas odontotermitis	117	442	111	177	99	55	101	476	36	255
Comamonas piscis	91	246	85	113	73	41	95	274	52	63
Comamonas serinivorans	132	152	205	282	199	75	116	170	70	79
Comamonas sp. 7D-2	7	11	4	8	4	4	8	14	4	8
Comamonas sp. 7D-2evo1	0	2	0	0	0	0	0	1	0	0
Comamonas sp. B21-038	95	169	93	115	72	38	94	185	32	80
Comamonas sp. C11	21	111	12	24	12	24	17	107	8	62
Comamonas sp. NLF-1-9	113	130	134	166	198	57	88	148	66	83
Comamonas sp. NLF-7-7	111	156	137	212	245	62	75	155	54	79
Comamonas sp. PR12	10	21	15	20	12	8	16	46	10	7
Comamonas sp. Y33R10-2	106	1493	39	91	37	48	81	874	20	93
Comamonas testosteroni	118	531	93	154	92	65	93	415	54	314
Comamonas thiooxydans	124	534	103	231	105	115	95	435	64	334
Commensalibacter sp. AMU001	1	0	3	2	2	1	0	4	2	0
Commensalibacter sp. ESL0284	1	0	6	1	2	2	1	1	1	1
Common bottlenose dolphin gammaherpesvirus 1 strain Sarasota	0	0	0	2	1	0	0	0	1	0
Companilactobacillus alimentarius	0	0	0	0	0	0	0	0	0	0
Companilactobacillus allii	9	1	16	8	1	2	6	6	3	0
Companilactobacillus crustorum	6	2	11	3	2	6	4	7	7	2
Companilactobacillus farciminis	0	0	0	0	0	0	0	0	0	0
Companilactobacillus futsaii	3	1	17	3	1	3	2	8	5	1
Companilactobacillus ginsenosidimutans	8	2	16	1	4	12	3	19	8	1
Companilactobacillus heilongjiangensis	8	1	13	4	4	1	6	8	4	2
Companilactobacillus pabuli	3	1	16	2	1	1	2	11	5	0
Companilactobacillus paralimentarius	6	2	9	6	6	3	5	13	2	3
Companilactobacillus zhachilii	6	2	11	2	2	2	2	6	9	1
Conchiformibius steedae	10	5	22	21	10	9	5	15	7	10
Condylorrhiza vestigialis MNPV	0	0	2	0	0	0	0	0	0	1
Conexibacter sp. DBS9H8	19	7	77	65	56	11	13	4	19	3
Conexibacter sp. S30A1	13	0	72	60	56	6	5	4	16	8
Conexibacter sp. SYSU D00693	28	4	130	102	86	12	20	16	37	11
Conexibacter woesei	0	0	0	0	0	0	0	0	0	0
Conexivisphaera calida	0	0	7	5	5	1	2	1	2	0
Congregibacter litoralis	0	0	0	0	0	0	0	0	0	0
Constantimarinum furrinae	20	6	175	17	20	4	22	2	20	8
Coopervirus adawi	0	0	0	0	0	0	0	0	0	0
Coopervirus cooper	0	0	0	0	0	0	0	0	0	0
Coopervirus fortunato	0	0	0	0	0	0	0	0	0	0
Coopervirus heath	0	0	0	0	0	0	0	0	0	0
Coopervirus JAMaL	0	0	0	0	0	0	0	0	0	0
Coopervirus nigel	0	0	0	0	0	0	0	0	0	0
Coopervirus vincenzo	0	0	0	0	0	0	0	0	0	0
Coprobacter secundus	0	0	0	0	0	0	0	0	0	0
Coprococcus catus	36	223	49	297	17	206	23	684	5	125
Coprococcus comes	41	430	104	627	9	208	20	1139	2	248
Coprococcus eutactus	9	39	15	57	6	71	7	362	1	62
Coprococcus sp. ART55/1	28	64	24	147	10	75	10	936	5	135
Coprothermobacter proteolyticus	0	0	0	0	0	0	0	0	0	0
Coraliomargarita akajimensis	0	0	0	0	0	0	0	0	0	0
Corallococcus coralloides	97	7	136	68	127	22	41	13	74	21
Corallococcus macrosporus	65	8	124	44	94	17	22	5	38	18
Corallococcus sp. EGB	148	11	230	98	324	17	55	14	129	27
Cordyline virus 2	0	0	0	0	0	0	0	0	1	0
Coriobacterium glomerans	0	0	0	0	0	0	0	0	0	0
Corndogvirus ryadel	0	0	0	0	0	0	0	0	0	0
Corynebacterium accolens	2	0	11	3	5	0	1	1	2	0
Corynebacterium ammoniagenes	6	0	12	6	9	2	2	6	3	2
Corynebacterium amycolatum	8	1	9	9	9	6	6	2	5	1
Corynebacterium anserum	4	3	15	5	3	0	4	2	4	0
Corynebacterium aquilae	0	0	0	0	0	0	0	0	0	0
Corynebacterium argentoratense	0	0	0	0	0	0	0	0	0	0
Corynebacterium atypicum	10	2	28	25	26	2	5	10	10	1
Corynebacterium aurimucosum	6	4	30	17	21	6	8	13	10	1
Corynebacterium bovis	22	2	49	28	42	5	13	11	17	4
Corynebacterium callunae	0	0	0	0	0	0	0	0	0	0
Corynebacterium camporealensis	8	2	20	22	13	2	6	9	3	2
Corynebacterium casei	0	0	0	0	0	0	0	0	0	0
Corynebacterium choanae	2	1	24	14	10	1	7	4	4	5
Corynebacterium comes	18	3	42	29	20	4	5	12	4	0
Corynebacterium coyleae	3	3	40	23	11	7	2	5	7	3
Corynebacterium crudilactis	2	4	14	6	5	0	5	11	3	3
Corynebacterium cyclohexanicum	26	8	78	43	42	9	22	15	22	6
Corynebacterium cystitidis	6	2	15	10	11	2	3	3	15	4
Corynebacterium deserti	0	0	0	0	0	0	0	0	0	0
Corynebacterium diphtheriae	16	0	27	13	16	7	2	8	4	4
Corynebacterium doosanense	0	0	0	0	0	0	0	0	0	0
Corynebacterium efficiens	0	0	0	0	0	0	0	0	0	0
Corynebacterium endometrii	6	4	24	14	10	2	1	10	3	2
Corynebacterium epidermidicanis	9	4	19	9	11	1	7	3	6	1
Corynebacterium falsenii	16	8	51	26	18	8	8	12	7	2
Corynebacterium flavescens	10	1	32	17	10	1	6	5	3	1
Corynebacterium frankenforstense	0	0	0	0	0	0	0	0	0	0
Corynebacterium freneyi	23	8	61	47	24	9	12	11	8	9
Corynebacterium genitalium	0	0	0	0	0	0	0	0	0	0
Corynebacterium gerontici	9	2	22	10	9	3	0	1	4	1
Corynebacterium glaucum	15	4	18	12	28	6	5	6	6	3
Corynebacterium glucuronolyticum	10	4	27	29	15	3	4	2	3	2
Corynebacterium glutamicum	9	2	21	14	13	8	4	3	5	2
Corynebacterium glyciniphilum	0	0	0	0	0	0	0	0	0	0
Corynebacterium halotolerans	0	0	0	0	0	0	0	0	0	0
Corynebacterium hindlerae	11	5	28	18	12	4	4	8	3	4
Corynebacterium humireducens	0	0	0	0	0	0	0	0	0	0
Corynebacterium imitans	13	2	41	26	17	12	7	4	4	4
Corynebacterium incognita	11	1	24	11	12	2	3	3	2	0
Corynebacterium jeikeium	11	1	25	30	13	4	2	8	6	2
Corynebacterium kalinowskii	6	2	20	13	13	3	4	5	4	1
Corynebacterium kefirresidentii	4	1	14	8	13	0	5	8	6	3
Corynebacterium kroppenstedtii	19	3	52	29	16	8	8	9	11	3
Corynebacterium kutscheri	4	0	6	5	1	2	2	8	2	0
Corynebacterium lactis	0	0	0	0	0	0	0	0	0	0
Corynebacterium liangguodongii	14	7	29	27	26	5	7	8	10	3
Corynebacterium lizhenjunii	5	2	18	16	14	3	4	3	3	2
Corynebacterium lujinxingii	10	2	35	23	15	3	8	3	7	4
Corynebacterium macginleyi	8	6	14	11	8	4	1	3	3	1
Corynebacterium marinum	0	0	0	0	0	0	0	0	0	0
Corynebacterium maris	0	0	0	0	0	0	0	0	0	0
Corynebacterium matruchotii	13	2	23	27	20	4	4	13	3	1
Corynebacterium minutissimum	5	1	12	13	13	3	3	5	5	3
Corynebacterium mustelae	5	2	16	10	11	1	5	3	4	0
Corynebacterium mycetoides	12	1	33	21	17	5	3	3	6	3
Corynebacterium nuruki	0	0	0	0	0	0	0	0	0	0
Corynebacterium occultum	15	3	27	22	17	5	5	10	4	4
Corynebacterium pelargi	5	2	12	4	7	4	1	4	1	2
Corynebacterium phocae	5	0	17	15	7	6	3	5	8	3
Corynebacterium poyangense	3	3	16	10	5	1	3	3	1	0
Corynebacterium propinquum	7	2	14	17	9	7	4	4	5	1
Corynebacterium provencense	14	2	31	27	20	1	5	7	4	2
Corynebacterium pseudodiphtheriticum	7	2	21	8	7	3	1	3	3	1
Corynebacterium pseudogenitalium	3	0	6	6	2	3	2	4	0	1
Corynebacterium pseudopelargi	5	1	12	5	9	2	1	6	2	2
Corynebacterium pseudotuberculosis	3	0	11	6	3	3	2	7	4	0
Corynebacterium qintianiae	8	1	31	15	18	1	5	6	2	1
Corynebacterium renale	6	3	18	14	18	1	4	6	6	2
Corynebacterium resistens	0	0	0	0	0	0	0	0	0	0
Corynebacterium riegelii	11	4	22	19	16	9	7	13	3	1
Corynebacterium rouxii	4	2	10	6	3	2	1	1	2	4
Corynebacterium sanguinis	12	10	38	72	21	7	5	17	5	4
Corynebacterium segmentosum	2	2	5	4	3	0	0	3	0	1
Corynebacterium silvaticum	0	4	10	7	2	0	3	4	0	2
Corynebacterium simulans	2	1	22	12	8	9	7	9	5	2
Corynebacterium singulare	5	3	24	16	7	6	5	8	6	2
Corynebacterium sp. ATCC 6931	0	0	1	0	0	0	0	0	0	0
Corynebacterium sp. CNCTC7651	10	4	30	22	17	6	4	2	4	1
Corynebacterium sp. FDAARGOS 1242	3	0	7	5	3	2	4	2	4	0
Corynebacterium sp. L2-79-05	0	0	0	1	0	0	0	0	0	0
Corynebacterium sp. NML98-0116	1	0	3	4	4	0	0	1	0	0
Corynebacterium sp. sy039	4	1	10	4	1	2	5	4	5	4
Corynebacterium sphenisci	0	0	0	0	0	0	0	0	0	0
Corynebacterium stationis	3	4	19	12	2	4	3	7	5	0
Corynebacterium striatum	13	5	37	21	27	9	3	6	6	4
Corynebacterium suranareeae	6	2	18	7	5	2	6	6	4	0
Corynebacterium terpenotabidum	0	0	0	0	0	0	0	0	0	0
Corynebacterium testudinoris	16	5	28	33	16	4	8	23	3	1
Corynebacterium timonense	6	1	34	24	19	5	8	8	7	5
Corynebacterium tuberculostearicum	14	11	36	23	23	8	7	18	8	8
Corynebacterium uberis	8	3	28	19	17	2	4	12	5	1
Corynebacterium ulcerans	6	4	19	7	6	3	1	4	4	1
Corynebacterium urealyticum	12	1	52	27	10	7	6	4	5	5
Corynebacterium ureicelerivorans	13	2	30	14	13	8	2	8	4	2
Corynebacterium urogenitale	9	1	16	13	12	4	8	6	4	2
Corynebacterium uterequi	10	5	30	19	23	5	5	9	7	1
Corynebacterium variabile	0	0	0	0	0	0	0	0	0	0
Corynebacterium virus C3PO	0	0	0	0	0	0	0	0	0	0
Corynebacterium vitaeruminis	0	0	0	0	0	0	0	0	0	0
Corynebacterium xerosis	26	11	72	61	52	19	12	13	16	6
Corynebacterium yudongzhengii	10	2	29	29	23	8	9	4	9	4
Corynebacterium zhongnanshanii	7	5	24	25	7	3	4	7	7	2
Costertonia aggregata	32	3	83	6	23	5	23	8	18	6
Cotia virus	0	0	0	0	0	0	0	0	0	0
Couchioplanes caeruleus	66	6	154	110	111	21	33	24	35	9
Cow vetch latent virus	0	1	0	0	0	0	0	0	0	0
Cowpox virus	0	0	1	0	0	0	0	0	0	0
Coxiella burnetii	4	0	36	8	11	2	2	1	2	2
Coxiella endosymbiont of Amblyomma nuttalli	5	0	12	5	2	3	4	1	3	1
Coxiella endosymbiont of Amblyomma sculptum	4	0	8	1	0	0	2	1	0	1
Coxiella endosymbiont of Dermacentor marginatus	4	0	9	3	5	0	1	0	4	3
Coxiella-like endosymbiont	1	1	22	3	6	1	1	1	1	0
Crassaminicella profunda	15	1	49	13	20	9	11	41	8	12
Crassaminicella sp. 143-21	8	4	34	5	10	11	5	26	6	12
Crassaminicella thermophila	10	4	46	9	8	15	7	36	8	12
CrAssphage sp.	0	0	0	0	1	2	0	0	1	1
Crateriforma conspicua	29	3	102	71	43	6	20	5	17	5
Crenobacter cavernae	42	13	106	79	81	23	30	18	18	35
Criblamydia sequanensis	0	0	0	0	0	0	0	0	0	0
Crinalium epipsammum	0	0	0	0	0	0	0	0	0	0
Croceibacter atlanticus	0	0	0	0	0	0	0	0	0	0
Croceibacter phage P2559S	0	0	0	0	0	0	1	0	0	0
Croceibacterium atlanticum	22	4	100	142	50	6	18	5	8	5
Croceicoccus marinus	63	7	176	269	89	15	35	4	32	12
Croceicoccus naphthovorans	28	5	172	320	44	7	13	6	15	4
Croceicoccus sp. Ery15	13	3	66	116	24	1	7	6	6	1
Croceicoccus sp. Ery5	6	0	72	110	24	4	6	4	13	2
Croceicoccus sp. YJ47	25	5	75	123	44	7	19	5	20	1
Croceimicrobium hydrocarbonivorans	42	1	89	10	11	4	21	7	15	4
Crocinitomix sp. GM2_3_6_6	51	6	261	5	28	10	45	8	22	16
Crocosphaera subtropica	0	0	0	0	0	0	0	0	0	0
Cronobacter condimenti	0	0	0	0	0	0	0	0	0	0
Cronobacter dublinensis	0	0	0	0	0	0	0	0	0	0
Cronobacter malonaticus	2	2	20	18	7	13	2	3	2	2
Cronobacter muytjensii	0	0	0	0	0	0	0	0	0	0
Cronobacter phage CR5	1	0	0	0	0	1	0	0	0	0
Cronobacter phage ENT47670	0	0	0	0	1	0	0	0	0	0
Cronobacter phage S13	1	0	0	0	0	0	0	0	0	0
Cronobacter sakazakii	22	6	52	110	44	47	16	12	14	15
Cronobacter sp. JZ38	5	2	6	3	1	2	3	4	1	0
Cronobacter universalis	0	0	0	0	0	0	0	0	0	0
Cronusvirus cronus	0	0	0	1	0	0	0	0	0	1
Cruoricaptor ignavus	23	16	40	9	12	19	14	38	10	49
Crustacean mivirus	0	0	0	0	0	0	0	0	0	0
Cryobacterium arcticum	18	6	39	25	32	5	10	7	8	1
Cryobacterium soli	20	6	70	31	31	5	11	10	8	4
Cryobacterium sp.	4	2	5	6	1	2	0	2	1	2
Cryobacterium sp. LW097	23	9	60	58	35	7	11	12	16	6
Cryobacterium sp. PAMC25264	15	6	49	45	25	4	10	16	5	4
Cryobacterium sp. SO1	16	5	64	52	28	2	15	16	15	7
Cryptobacterium curtum	0	0	0	0	0	0	0	0	0	0
Cryptococcus gattii VGI	0	0	0	0	0	0	0	0	0	0
Cryptococcus neoformans	1	0	5	2	2	1	1	0	1	0
Cryptomonas paramecium	2	0	5	1	1	1	0	0	0	0
Cryptophlebia leucotreta granulovirus	1	0	0	0	0	0	0	0	0	0
Cryptophlebia peltastica nucleopolyhedrovirus	0	1	0	0	0	0	0	0	0	0
Cryptosporidium parvum	0	0	0	0	0	0	0	0	0	0
Cucurbit vein banding virus	0	0	1	0	0	0	0	0	0	0
Culex nigripalpus nucleopolyhedrovirus	0	0	0	0	1	0	0	0	0	0
Culoivirus americanus	0	0	0	0	0	0	0	0	0	0
Culoivirus faecalis	0	0	0	0	0	0	0	0	0	0
Culoivirus intestinalis	0	0	0	0	0	0	0	0	0	0
Cuniculiplasma divulgatum	4	0	13	2	2	3	1	0	5	4
Cupriavidus basilensis	147	60	292	217	222	60	131	86	95	60
Cupriavidus campinensis	107	45	204	156	173	40	81	42	89	44
Cupriavidus cauae	66	20	111	85	108	22	61	21	51	22
Cupriavidus gilardii	31	21	63	66	91	24	21	30	28	20
Cupriavidus malaysiensis	7	4	18	9	15	1	5	4	3	5
Cupriavidus metallidurans	108	43	234	167	160	62	89	73	68	52
Cupriavidus nantongensis	30	17	76	94	59	29	12	23	18	27
Cupriavidus necator	160	52	297	219	225	71	115	66	103	64
Cupriavidus neocaledonicus	25	10	59	42	49	2	19	5	18	7
Cupriavidus oxalaticus	145	46	257	190	259	44	112	63	76	47
Cupriavidus pauculus	247	89	398	340	403	137	189	116	168	144
Cupriavidus pinatubonensis	74	24	123	104	110	32	60	23	33	31
Cupriavidus sp. EM10	56	27	95	89	104	31	53	42	46	42
Cupriavidus sp. ISTL7	4	0	5	5	7	2	2	0	3	1
Cupriavidus sp. KK10	17	6	29	28	26	8	16	6	8	16
Cupriavidus sp. MP-37	26	6	66	41	59	12	23	11	22	9
Cupriavidus sp. USMAA2-4	16	12	51	98	39	10	19	14	5	5
Cupriavidus sp. USMAHM13	5	3	16	9	12	6	5	2	4	1
Cupriavidus taiwanensis	323	126	689	497	582	133	267	132	242	152
Currant virus A	0	0	1	0	0	0	0	0	0	0
Curtobacterium flaccumfaciens	27	8	49	47	42	7	10	10	14	7
Curtobacterium luteum	26	6	46	38	48	3	19	12	25	5
Curtobacterium sp. 24E2	28	6	38	47	24	5	5	9	9	5
Curtobacterium sp. Arg-1	0	1	4	5	6	0	1	0	3	0
Curtobacterium sp. BH-2-1-1	30	5	68	45	27	7	14	7	19	10
Curtobacterium sp. C1	6	1	14	15	13	1	2	1	3	1
Curtobacterium sp. Csp1	1	0	3	2	1	0	2	1	0	0
Curtobacterium sp. Csp2	6	0	18	6	11	1	1	4	1	0
Curtobacterium sp. csp3	0	0	0	0	1	0	0	0	0	0
Curtobacterium sp. L6-1	25	6	53	42	50	3	23	10	19	15
Curtobacterium sp. MR_MD2014	30	3	58	48	39	4	14	7	11	3
Curtobacterium sp. SGAir0471	22	1	44	29	27	3	10	8	10	4
Curtobacterium sp. TC1	22	4	40	35	31	3	9	5	17	3
Curtobacterium sp. TXMA1	17	6	36	21	16	4	5	4	7	1
Curtobacterium sp. YC1	21	6	42	42	22	2	13	8	18	5
Curvibacter sp. AEP1-3	344	290	92	87	57	37	305	291	45	74
Cutibacterium acnes	16	20	45	71	11	13	8	28	3	7
Cutibacterium avidum	41	12	84	64	16	17	31	45	16	13
Cutibacterium granulosum	9	2	24	18	16	5	14	19	3	6
Cutibacterium modestum	10	2	19	31	13	2	12	6	1	2
Cyanobacterium aponinum	0	0	0	0	0	0	0	0	0	0
cyanobacterium endosymbiont of Epithemia turgida	0	0	0	0	0	0	0	0	0	0
cyanobacterium endosymbiont of Rhopalodia gibberula	6	2	19	5	2	2	4	20	6	2
Cyanobium gracile	0	0	0	0	0	0	0	0	0	0
Cyanobium sp. NIES-981	9	5	45	37	46	5	1	7	9	4
Cyanobium sp. NS01	8	6	45	29	29	6	6	7	5	4
Cyanophage PSS2	0	0	1	0	0	0	0	0	0	0
Cycas necrotic stunt virus	0	0	0	0	1	0	0	0	0	0
Cyclobacterium amurskyense	38	5	60	13	22	14	29	6	21	14
Cyclobacterium marinum	0	0	0	0	0	0	0	0	0	0
Cycloclasticus sp. P1	2	2	5	11	1	0	0	1	1	0
Cycloclasticus sp. PY97N	0	0	6	3	2	0	1	0	1	1
Cycloclasticus zancles	0	0	0	0	0	0	0	0	0	0
Cyclophragma undans nucleopolyhedrovirus	0	0	2	1	0	0	0	1	0	0
Cydia pomonella granulovirus	0	0	1	0	0	0	0	0	0	0
Cylindrospermopsis curvispora	0	0	0	0	0	0	0	0	0	0
Cylindrospermopsis raciborskii	1	0	10	0	3	1	1	5	2	1
Cylindrospermum stagnale	0	0	0	0	0	0	0	0	0	0
Cymopoleiavirus swam2	0	0	0	0	0	0	0	0	0	0
Cypovirus 15	0	0	0	0	0	0	0	0	0	0
Cyprinid herpesvirus 1	1	0	1	1	1	0	0	0	0	0
Cyprinid herpesvirus 2	0	0	1	0	0	0	0	0	0	0
Cyprinid herpesvirus 3	1	0	2	0	0	0	0	0	0	1
Cystobacter fuscus	94	9	198	90	131	28	36	9	77	21
Cystovirus phiNN	0	0	0	0	0	0	0	0	0	0
Cytobacillus firmus	15	0	31	8	12	7	10	16	6	6
Cytobacillus gottheilii	14	3	19	6	10	8	4	14	8	2
Cytobacillus kochii	8	3	14	4	10	3	5	26	10	2
Cytobacillus oceanisediminis	13	7	29	13	11	6	10	23	6	7
Cytobacillus solani	16	7	40	2	14	9	8	29	7	7
Cytobacillus sp. CY-G	9	2	14	3	5	5	9	17	2	3
Cytophaga hutchinsonii	0	0	0	0	0	0	0	0	0	0
Dabirmavirus hominis	0	0	0	0	0	0	0	0	0	0
Dactylococcopsis salina	0	0	0	0	0	0	0	0	0	0
Dactylosporangium aurantiacum	97	14	270	198	198	37	52	42	63	28
Dactylosporangium fulvum	56	12	176	145	111	21	37	20	37	16
Dactylosporangium matsuzakiense	25	3	70	49	46	2	12	12	13	11
Dactylosporangium roseum	46	7	124	98	74	10	19	18	25	14
Dactylosporangium vinaceum	31	5	114	71	82	13	19	20	18	12
Dahlia mosaic virus	0	0	1	0	0	0	0	0	0	0
Dardanusvirus dardanus	0	0	0	0	0	0	0	0	0	0
Daredevilvirus daredevil	0	0	0	0	0	0	0	0	0	0
Debaryomyces hansenii	0	0	0	0	0	0	0	0	0	0
Dechloromonas denitrificans	1362	455	343	363	571	753	1607	1475	819	1096
Dechloromonas sp. A34	1344	237	255	277	529	511	1225	867	811	857
Dechloromonas sp. HYN0024	723	131	119	141	174	316	482	502	292	461
Dechloromonas sp. TW-R-39-2	397	114	82	78	97	244	322	342	163	289
Dechshavirus japanensis	0	0	0	0	0	0	0	0	0	0
Deefgea piscis	21	12	68	26	25	13	26	41	15	13
Deefgea tanakiae	14	11	28	14	17	14	8	15	8	7
Deer atadenovirus A	0	0	0	0	0	0	0	0	0	0
Deferribacter desulfuricans	0	0	0	0	0	0	0	0	0	0
Defluviicoccus vanus	29	12	468	387	1178	26	19	22	28	12
Defluviitoga tunisiensis	13	2	17	5	4	4	1	6	3	2
Dehalobacter restrictus	4	1	12	4	4	9	3	44	1	4
Dehalobacter sp. CF	0	1	5	0	0	4	0	28	0	6
Dehalobacter sp. DCA	0	0	1	0	0	1	0	0	0	1
Dehalobacterium formicoaceticum	7	1	32	11	11	45	4	118	4	12
Dehalococcoides mccartyi	8	2	70	12	13	80	6	25	7	6
Dehalogenimonas formicexedens	5	1	29	15	9	7	2	4	3	1
Deinococcus actinosclerus	26	5	82	49	56	11	7	16	10	6
Deinococcus aetherius	16	7	64	29	38	10	8	11	11	3
Deinococcus deserti	0	0	0	0	0	0	0	0	0	0
Deinococcus ficus	14	6	57	44	39	17	12	29	10	7
Deinococcus geothermalis	0	0	0	0	0	0	0	0	0	0
Deinococcus gobiensis	0	0	0	0	0	0	0	0	0	0
Deinococcus irradiatisoli	15	2	58	33	41	12	14	17	6	8
Deinococcus maricopensis	0	0	0	0	0	0	0	0	0	0
Deinococcus metallilatus	19	4	68	46	33	11	7	9	10	4
Deinococcus peraridilitoris	0	0	0	0	0	0	0	0	0	0
Deinococcus proteolyticus	0	0	0	0	0	0	0	0	0	0
Deinococcus psychrotolerans	13	4	42	33	25	4	6	18	6	2
Deinococcus puniceus	7	0	22	15	17	4	4	15	2	5
Deinococcus radiodurans	14	5	57	37	44	5	6	7	11	2
Deinococcus radiophilus	7	1	32	11	25	22	1	4	5	3
Deinococcus radiopugnans	14	4	73	39	30	6	8	15	8	4
Deinococcus rubellus	14	7	52	28	28	4	4	10	6	4
Deinococcus soli (ex Cha et al. 2016)	10	2	33	15	17	3	3	10	4	8
Deinococcus sp. AJ005	20	8	56	27	40	7	8	11	7	2
